Sıra,Sure,Ayet,Metin,Hoca
2307,19,57,verafa`nâhu mekânen `aliyyâ.,Abay Yazılışı
2308,19,58,ulâike-lleẕîne en`ame-llâhu `aleyhim mine-nnebiyyîne min ẕurriyyeti âdeme vemimmen ḥamelnâ me`a nûḥ. vemin ẕurriyyeti ibrâhîme veisrâîle vemimmen hedeynâ vectebeynâ. iẕâ tutlâ `aleyhim âyâtu-rraḥmâni ḫarrû succedev vebukiyyâ.,Abay Yazılışı
2309,19,59,feḫalefe mim ba`dihim ḫalfun eḍâ`u-ṣṣalâte vettebe`u-şşehevâti fesevfe yelḳavne gayyâ.,Abay Yazılışı
2310,19,60,illâ men tâbe veâmene ve`amile ṣâliḥan feulâike yedḫulûne-lcennete velâ yużlemûne şey'â.,Abay Yazılışı
2311,19,61,cennâti `adnini-lletî ve`ade-rraḥmânu `ibâdehû bilgayb. innehû kâne va`duhû me'tiyyâ.,Abay Yazılışı
2312,19,62,lâ yesme`ûne fîhâ lagven illâ selâmâ. velehum rizḳuhum fîhâ bukratev ve`aşiyyâ.,Abay Yazılışı
2313,19,63,tilke-lcennetu-lletî nûriŝu min `ibâdinâ men kâne teḳiyyâ.,Abay Yazılışı
2314,19,64,vemâ netenezzelu illâ biemri rabbik. lehû mâ beyne eydînâ vemâ ḫalfenâ vemâ beyne ẕâlik. vemâ kâne rabbuke nesiyyâ.,Abay Yazılışı
2315,19,65,rabbu-ssemâvâti vel'arḍi vemâ beynehumâ fa`budhu vaṣṭabir li`ibâdetih. hel ta`lemu lehû semiyyâ.,Abay Yazılışı
2316,19,66,veyeḳûlu-l'insânu eiẕâ mâ mittu lesevfe uḫracu ḥayyâ.,Abay Yazılışı
2317,19,67,evelâ yeẕkuru-l'insânu ennâ ḫalaḳnâhu min ḳablu velem yeku şey'â.,Abay Yazılışı
2318,19,68,feverabbike lenaḥşurannehum veşşeyâṭîne ŝumme lenuḥḍirannehum ḥavle cehenneme ciŝiyyâ.,Abay Yazılışı
2319,19,69,ŝumme lenenzi`anne min kulli şî`atin eyyuhum eşeddu `ale-rraḥmâni `itiyyâ.,Abay Yazılışı
2320,19,70,ŝumme lenaḥnu a`lemu billeẕîne hum evlâ bihâ ṣiliyyâ.,Abay Yazılışı
2321,19,71,veim minkum illâ vâriduhâ. kâne `alâ rabbike ḥatmem maḳḍiyyâ.,Abay Yazılışı
2322,19,72,ŝumme nunecci-lleẕîne-tteḳav veneẕeru-żżâlimîne fîhâ ciŝiyyâ.,Abay Yazılışı
2323,19,73,veiẕâ tutlâ `aleyhim âyâtunâ beyyinâtin ḳâle-lleẕîne keferû lilleẕîne âmenû eyyu-lferîḳayni ḫayrum meḳâmev veaḥsenu nediyyâ.,Abay Yazılışı
2324,19,74,vekem ehleknâ ḳablehum min ḳarnin hum aḥsenu eŝâŝev veri'yâ.,Abay Yazılışı
2325,19,75,ḳul men kâne fi-ḍḍalâleti felyemdud lehu-rraḥmânu meddâ. ḥattâ iẕâ raev mâ yû`adûne imme-l`aẕâbe veimme-ssâ`ah. feseya`lemûne men huve şerrum mekânev veaḍ`afu cundâ.,Abay Yazılışı
2326,19,76,veyezîdu-llâhu-lleẕîne-htedev huden. velbâḳiyâtu-ṣṣâliḥâtu ḫayrun `inde rabbike ŝevâbev veḫayrum meraddâ.,Abay Yazılışı
2327,19,77,eferaeyte-lleẕî kefera biâyâtinâ veḳâle leûteyenne mâlev veveledâ.,Abay Yazılışı
2328,19,78,eṭṭale`a-lgaybe emi-tteḫaẕe `inde-rraḥmâni `ahdâ.,Abay Yazılışı
2329,19,79,kellâ. senektubu mâ yeḳûlu venemuddu lehû mine-l`aẕâbi meddâ.,Abay Yazılışı
2330,19,80,veneriŝuhû mâ yeḳûlu veye'tînâ ferdâ.,Abay Yazılışı
2331,19,81,vetteḫaẕû min dûni-llâhi âlihetel liyekûnû lehum `izzâ.,Abay Yazılışı
2332,19,82,kellâ. seyekfurûne bi`ibâdetihim veyekûnûne `aleyhim ḍiddâ.,Abay Yazılışı
2333,19,83,elem tera ennâ erselne-şşeyâṭîne `ale-lkâfirîne teuzzuhum ezzâ.,Abay Yazılışı
2334,19,84,felâ ta`cel `aleyhim. innemâ ne`uddu lehum `addâ.,Abay Yazılışı
2335,19,85,yevme naḥşuru-lmutteḳîne ile-rraḥmâni vefdâ.,Abay Yazılışı
2336,19,86,venesûḳu-lmucrimîne ilâ cehenneme virdâ.,Abay Yazılışı
2337,19,87,lâ yemlikûne-şşefâ`ate illâ meni-tteḫaẕe `inde-rraḥmâni `ahdâ.,Abay Yazılışı
2338,19,88,veḳâlu-tteḫaẕe-rraḥmânu veledâ.,Abay Yazılışı
2339,19,89,leḳad ci'tum şey'en iddâ.,Abay Yazılışı
2340,19,90,tekâdu-ssemâvâtu yetefeṭṭarne minhu vetenşeḳḳu-l'arḍu veteḫirru-lcibâlu heddâ.,Abay Yazılışı
2341,19,91,en de`av lirraḥmâni veledâ.,Abay Yazılışı
2342,19,92,vemâ yembegî lirraḥmâni ey yetteḫiẕe veledâ.,Abay Yazılışı
2343,19,93,in kullu men fi-ssemâvâti vel'arḍi illâ âti-rraḥmâni `abdâ.,Abay Yazılışı
2344,19,94,leḳad aḥṣâhum ve`addehum `addâ.,Abay Yazılışı
2345,19,95,vekulluhum âtîhi yevme-lḳiyâmeti ferdâ.,Abay Yazılışı
2346,19,96,inne-lleẕîne âmenû ve`amilu-ṣṣâliḥâti seyec`alu lehumu-rraḥmânu vuddâ.,Abay Yazılışı
2347,19,97,feinnemâ yessernâhu bilisânike litubeşşira bihi-lmutteḳîne vetunẕira bihî ḳavmel luddâ.,Abay Yazılışı
2348,19,98,vekem ehleknâ ḳablehum min ḳarn. hel tuḥissu minhum min eḥadin ev tesme`u lehum rikzâ.,Abay Yazılışı
2349,20,1,ṭâ-hâ.,Abay Yazılışı
2350,20,2,mâ enzelnâ `aleyke-lḳur'âne liteşḳâ.,Abay Yazılışı
2351,20,3,illâ teẕkiratel limey yaḫşâ.,Abay Yazılışı
2352,20,4,tenzîlem mimmen ḫaleḳa-l'arḍa vessemâvâti-l`ulâ.,Abay Yazılışı
2353,20,5,erraḥmânu `ale-l`arşi-stevâ.,Abay Yazılışı
2354,20,6,lehû mâ fi-ssemâvâti vemâ fi-l'arḍi vemâ beynehumâ vemâ taḥte-ŝŝerâ.,Abay Yazılışı
2355,20,7,vein techer bilḳavli feinnehû ya`lemu-ssirra veaḫfâ.,Abay Yazılışı
2356,20,8,allâhu lâ ilâhe illâ hû. lehu-l'esmâu-lḥusnâ.,Abay Yazılışı
2357,20,9,vehel etâke ḥadîŝu mûsâ.,Abay Yazılışı
2358,20,10,iẕ raâ nâran feḳâle liehlihi-mkuŝû innî ânestu nâral le`allî âtîkum minhâ biḳabesin ev ecidu `ale-nnâri hudâ.,Abay Yazılışı
2359,20,11,felemmâ etâhâ nûdiye yâ mûsâ.,Abay Yazılışı
2360,20,12,innî ene rabbuke faḫla` na`leyk. inneke bilvâdi-lmuḳaddesi ṭuvâ.,Abay Yazılışı
2361,20,13,veene-ḫtertuke festemi` limâ yûḥâ.,Abay Yazılışı
2362,20,14,innenî ene-llâhu lâ ilâhe illâ ene fa`budnî veeḳimi-ṣṣalâte liẕikrî.,Abay Yazılışı
2363,20,15,inne-ssâ`ate âtiyetun ekâdu uḫfîhâ lituczâ kullu nefsim bimâ tes`â.,Abay Yazılışı
2364,20,16,felâ yeṣuddenneke `anhâ mel lâ yu'minu bihâ vettebe`a hevâhu feterdâ.,Abay Yazılışı
2365,20,17,vemâ tilke biyemînike yâ mûsâ.,Abay Yazılışı
2366,20,18,ḳâle hiye `aṣây. etevekkeu `aleyhâ veehuşşu bihâ `alâ ganemî veliye fîhâ meâribu uḫrâ.,Abay Yazılışı
2367,20,19,ḳâle elḳihâ yâ mûsâ.,Abay Yazılışı
2368,20,20,feelḳâhâ feiẕâ hiye ḥayyetun tes`â.,Abay Yazılışı
2369,20,21,ḳâle ḫuẕhâ velâ teḫaf. senu`îduhâ sîratehe-l'ûlâ.,Abay Yazılışı
2370,20,22,vaḍmum yedeke ilâ cenâḥike taḫruc beyḍâe min gayri sûin âyeten uḫrâ.,Abay Yazılışı
2371,20,23,linuriyeke min âyâtine-lkubrâ.,Abay Yazılışı
2372,20,24,iẕheb ilâ fir`avne innehû ṭagâ.,Abay Yazılışı
2373,20,25,ḳâle rabbi-şraḥ lî ṣadrî.,Abay Yazılışı
2374,20,26,veyessir lî emrî.,Abay Yazılışı
2375,20,27,vaḥlul `uḳdetem mil lisânî.,Abay Yazılışı
2376,20,28,yefḳahû ḳavlî.,Abay Yazılışı
2377,20,29,vec`al lî vezîram min ehlî.,Abay Yazılışı
2378,20,30,hârûne eḫî.,Abay Yazılışı
2379,20,31,uşdud bihî ezrî.,Abay Yazılışı
2380,20,32,veeşrikhu fî emrî.,Abay Yazılışı
2381,20,33,key nusebbiḥake keŝîrâ.,Abay Yazılışı
2382,20,34,veneẕkurake keŝîrâ.,Abay Yazılışı
2383,20,35,inneke kunte binâ beṣîrâ.,Abay Yazılışı
2384,20,36,ḳâle ḳad ûtîte su'leke yâ mûsâ.,Abay Yazılışı
2385,20,37,veleḳad menennâ `aleyke merraten uḫrâ.,Abay Yazılışı
2386,20,38,iẕ evḥaynâ ilâ ummike mâ yûḥâ.,Abay Yazılışı
2387,20,39,eni-ḳẕifîhi fi-ttâbûti faḳẕifîhi fi-lyemmi felyulḳihi-lyemmu bissâḥili ye'ḫuẕhu `aduvvul lî ve`aduvvul leh. veelḳaytu `aleyke meḥabbetem minnî. velituṣne`a `alâ `aynî.,Abay Yazılışı
2388,20,40,iẕ temşî uḫtuke feteḳûlu hel edullukum `alâ mey yekfuluh. feraca`nâke ilâ ummike key teḳarra `aynuhâ velâ taḥzen. veḳatelte nefsen fenecceynâke mine-lgammi vefetennâke futûnâ. felebiŝte sinîne fî ehli medyene ŝumme ci'te `alâ ḳaderiy yâ mûsâ.,Abay Yazılışı
2389,20,41,vaṣṭana`tuke linefsî.,Abay Yazılışı
2390,20,42,iẕheb ente veeḫûke biâyâtî velâ teniyâ fî ẕikrî.,Abay Yazılışı
2391,20,43,iẕhebâ ilâ fir`avne innehû ṭagâ.,Abay Yazılışı
2392,20,44,feḳûlâ lehû ḳavlel leyyinel le`allehû yeteẕekkeru ev yaḫşâ.,Abay Yazılışı
2393,20,45,ḳâlâ rabbenâ innenâ neḫâfu ey yefruṭa `aleynâ ev ey yaṭgâ.,Abay Yazılışı
2394,20,46,ḳâle lâ teḫâfâ innenî me`akumâ esme`u veerâ.,Abay Yazılışı
2395,20,47,fe'tiyâhu feḳûlâ innâ rasûlâ rabbike feersil me`anâ benî isrâîle velâ tu`aẕẕibhum. ḳad ci'nâke biâyetim mir rabbik. vesselâmu `alâ meni-ttebe`a-lhudâ.,Abay Yazılışı
2396,20,48,innâ ḳad ûḥiye ileynâ enne-l`aẕâbe `alâ men keẕẕebe vetevellâ.,Abay Yazılışı
2397,20,49,ḳâle femer rabbukumâ yâ mûsâ.,Abay Yazılışı
2398,20,50,ḳâle rabbune-lleẕî a`ṭâ kulle şey'in ḫalḳahû ŝumme hedâ.,Abay Yazılışı
2399,20,51,ḳâle femâ bâlu-lḳurûni-l'ûlâ.,Abay Yazılışı
2400,20,52,ḳâle `ilmuhâ `inde rabbî fî kitâb. lâ yeḍillu rabbî velâ yensâ.,Abay Yazılışı
2401,20,53,elleẕî ce`ale lekumu-l'arḍa mehdev veseleke lekum fîhâ subulev veenzele mine-ssemâi mââ. feaḫracnâ bihî ezvâcem min nebetin şettâ.,Abay Yazılışı
2402,20,54,kulû ver`av en`âmekum. inne fî ẕâlike leâyâtil liuli-nnuhâ.,Abay Yazılışı
2403,20,55,minhâ ḫalaḳnâkum vefîhâ nu`îdukum veminhâ nuḫricukum târaten uḫrâ.,Abay Yazılışı
2404,20,56,veleḳad eraynâhu âyâtinâ kullehâ fekeẕẕebe veebâ.,Abay Yazılışı
2405,20,57,ḳâle eci'tenâ lituḫricenâ min arḍinâ bisiḥrike yâ mûsâ.,Abay Yazılışı
2406,20,58,felene'tiyenneke bisiḥrim miŝlihî fec`al beynenâ vebeyneke mev`idel lâ nuḫlifuhû naḥnu velâ ente mekânen suvâ.,Abay Yazılışı
2407,20,59,ḳâle mev`idukum yevmu-zzîneti veey yuḥşera-nnâsu ḍuḥâ.,Abay Yazılışı
2408,20,60,fetevellâ fir`avnu feceme`a keydehû ŝumme etâ.,Abay Yazılışı
2409,20,61,ḳâle lehum mûsâ veylekum lâ tefterû `ale-llâhi keẕiben feyusḥitekum bi`aẕâb. veḳad ḫâbe meni-fterâ.,Abay Yazılışı
2410,20,62,fetenâza`û emrahum beynehum veeserru-nnecvâ.,Abay Yazılışı
2411,20,63,ḳâlû in hâẕâni lesâḥirâni yurîdâni ey yuḫricâkum min arḍikum bisiḥrihimâ veyeẕhebâ biṭarîḳatikumu-lmuŝlâ.,Abay Yazılışı
2412,20,64,feecmi`û keydekum ŝumme-'tû ṣaffâ. veḳad efleḥa-lyevme meni-sta`lâ.,Abay Yazılışı
2413,20,65,ḳâlû yâ mûsâ immâ en tulḳiye veimmâ en nekûne evvele men elḳâ.,Abay Yazılışı
2414,20,66,ḳâle bel elḳû. feiẕâ ḥibâluhum ve`iṣiyyuhum yuḫayyelu ileyhi min siḥrihim ennehâ tes`â.,Abay Yazılışı
2415,20,67,feevcese fî nefsihî ḫîfetem mûsâ.,Abay Yazılışı
2416,20,68,ḳulnâ lâ teḫaf inneke ente-l'a`lâ.,Abay Yazılışı
2417,20,69,veelḳi mâ fî yemînike telḳaf mâ ṣane`û. innemâ ṣane`û keydu sâḥir. velâ yufliḥu-ssâḥiru ḥayŝu etâ.,Abay Yazılışı
2418,20,70,feulḳiye-sseḥaratu succeden ḳâlû âmennâ birabbi hârûne vemûsâ.,Abay Yazılışı
2419,20,71,ḳâle âmentum lehû ḳable en âẕene lekum. innehû lekebîrukumu-lleẕî `allemekumu-ssiḥr. feleuḳaṭṭi`anne eydiyekum veerculekum min ḫilâfiv veleuṣallibennekum fî cuẕû`i-nnaḫl. veleta`lemunne eyyunâ eşeddu `aẕâbev veebḳâ.,Abay Yazılışı
2420,20,72,ḳâlû len nu'ŝirake `alâ mâ câenâ mine-lbeyyinâti velleẕî feṭaranâ faḳḍi mâ ente ḳâḍ. innemâ taḳḍî hâẕihi-lḥayâte-ddunyâ.,Abay Yazılışı
2421,20,73,innâ âmennâ birabbinâ liyagfira lenâ ḫaṭâyânâ vemâ ekrahtenâ `aleyhi mine-ssiḥr. vellâhu ḫayruv veebḳâ.,Abay Yazılışı
2422,20,74,innehû mey ye'ti rabbehû mucrimen feinne lehû cehennem. lâ yemûtu fîhâ velâ yaḥyâ.,Abay Yazılışı
2423,20,75,vemey ye'tihî mu'minen ḳad `amile-ṣṣâliḥâti feulâike lehumu-dderacâtu-l`ulâ.,Abay Yazılışı
2424,20,76,cennâtu `adnin tecrî min taḥtihe-l'enhâru ḫâlidîne fîhâ. veẕâlike cezâu men tezekkâ.,Abay Yazılışı
2425,20,77,veleḳad evḥaynâ ilâ mûsâ en esri bi`ibâdî faḍrib lehum ṭarîḳan fi-lbaḥri yebesâ. lâ teḫâfu derakev velâ taḫşâ.,Abay Yazılışı
2426,20,78,feetbe`ahum fir`avnu bicunûdihî fegaşiyehum mine-lyemmi mâ gaşiyehum.,Abay Yazılışı
2427,20,79,veeḍalle fir`avnu ḳavmehû vemâ hedâ.,Abay Yazılışı
2428,20,80,yâ benî isrâîle ḳad enceynâkum min `aduvvikum veve`adnâkum cânibe-ṭṭûri-l'eymene venezzelnâ `aleykumu-lmenne vesselvâ.,Abay Yazılışı
2429,20,81,kulû min ṭayyibâti mâ razaḳnâkum velâ taṭgav fîhi feyeḥille `aleykum gaḍabî. vemey yaḥlil `aleyhi gaḍabî feḳad hevâ.,Abay Yazılışı
2430,20,82,veinnî legaffârul limen tâbe veâmene ve`amile ṣâliḥan ŝumme-htedâ.,Abay Yazılışı
2431,20,83,vemâ a`celeke `an ḳavmike yâ mûsâ.,Abay Yazılışı
2432,20,84,ḳâle hum ulâi `alâ eŝerî ve`aciltu ileyke rabbi literḍâ.,Abay Yazılışı
2433,20,85,ḳâle feinnâ ḳad fetennâ ḳavmeke mim ba`dike veeḍallehumu-ssâmiriyy.,Abay Yazılışı
2434,20,86,ferace`a mûsâ ilâ ḳavmihî gaḍbâne esifâ. ḳâle yâ ḳavmi elem ye`idkum rabbukum va`den ḥasenâ. efeṭâle `aleykumu-l`ahdu em erattum ey yeḥille `aleykum gaḍabum mir rabbikum feaḫleftum mev`idî.,Abay Yazılışı
2435,20,87,ḳâlû mâ aḫlefnâ mev`ideke bimelkinâ velâkinnâ ḥummilnâ evzâram min zîneti-lḳavmi feḳaẕefnâhâ fekeẕâlike elḳa-ssâmiriyy.,Abay Yazılışı
2436,20,88,feaḫrace lehum `iclen cesedel lehû ḫuvârun feḳâlû hâẕâ ilâhukum veilâhu mûsâ fenesî.,Abay Yazılışı
2437,20,89,efelâ yeravne ellâ yerci`u ileyhim ḳavlev velâ yemliku lehum ḍarrav velâ nef`â.,Abay Yazılışı
2438,20,90,veleḳad ḳâle lehum hârûnu min ḳablu yâ ḳavmi innemâ futintum bih. veinne rabbekumu-rraḥmânu fettebi`ûnî veeṭî`û emrî.,Abay Yazılışı
2439,20,91,ḳâlû len nebraḥa `aleyhi `âkifîne ḥattâ yerci`a ileynâ mûsâ.,Abay Yazılışı
2440,20,92,ḳâle yâ hârûnu mâ mene`ake iẕ raeytehum ḍallû.,Abay Yazılışı
2441,20,93,ellâ tettebi`an. efe`aṣayte emrî.,Abay Yazılışı
2442,20,94,ḳâle yebneumme lâ te'ḫuẕ biliḥyetî velâ bira'sî. innî ḫaşîtu en teḳûle ferraḳte beyne benî isrâîle velem terḳub ḳavlî.,Abay Yazılışı
2443,20,95,ḳâle femâ ḫaṭbuke yâ sâmiriyy.,Abay Yazılışı
2444,20,96,ḳâle beṣurtu bimâ lem yebṣurû bihî feḳabaḍtu ḳabḍatem min eŝeri-rrasûli fenebeẕtuhâ vekeẕâlike sevvelet lî nefsî.,Abay Yazılışı
2445,20,97,ḳâle feẕheb feinne leke fi-lḥayâti en teḳûle lâ misâs. veinne leke mev`idel len tuḫlefeh. venżur ilâ ilâhike-lleẕî żalte `aleyhi `âkifâ. lenuḥarriḳannehû ŝumme lenensifennehû fi-lyemmi nesfâ.,Abay Yazılışı
2446,20,98,innemâ ilâhukumu-llâhu-lleẕî lâ ilâhe illâ hû. vesi`a kulle şey'in `ilmâ.,Abay Yazılışı
2447,20,99,keẕâlike neḳuṣṣu `aleyke min embâi mâ ḳad sebeḳ. veḳad âteynâke mil ledunnâ ẕikrâ.,Abay Yazılışı
2448,20,100,men a`raḍa `anhu feinnehû yaḥmilu yevme-lḳiyâmeti vizrâ.,Abay Yazılışı
2449,20,101,ḫâlidîne fîh. vesâe lehum yevme-lḳiyâmeti ḥimlâ.,Abay Yazılışı
2450,20,102,yevme yunfeḫu fi-ṣṣûri venaḥşuru-lmucrimîne yevmeiẕin zurḳâ.,Abay Yazılışı
2451,20,103,yeteḫâfetûne beynehum il lebiŝtum illâ `aşrâ.,Abay Yazılışı
2452,20,104,naḥnu a`lemu bimâ yeḳûlûne iẕ yeḳûlu emŝeluhum ṭarîḳaten il lebiŝtum illâ yevmâ.,Abay Yazılışı
2453,20,105,veyes'elûneke `ani-lcibâli feḳul yensifuhâ rabbî nesfâ.,Abay Yazılışı
2454,20,106,feyeẕeruhâ ḳâ`an ṣafṣafâ.,Abay Yazılışı
2455,20,107,lâ terâ fîhâ `ivecev velâ emtâ.,Abay Yazılışı
2456,20,108,yevmeiẕiy yettebi`ûne-ddâ`iye lâ `ivece leh. veḫaşe`ati-l'aṣvâtu lirraḥmâni felâ tesme`u illâ hemsâ.,Abay Yazılışı
2457,20,109,yevmeiẕil lâ tenfe`u-şşefâ`atu illâ men eẕine lehu-rraḥmânu veraḍiye lehû ḳavlâ.,Abay Yazılışı
2458,20,110,ya`lemu mâ beyne eydîhim vemâ ḫalfehum velâ yuḥîṭûne bihî `ilmâ.,Abay Yazılışı
2459,20,111,ve`aneti-lvucûhu lilḥayyi-lḳayyûm. veḳad ḫâbe men ḥamele żulmâ.,Abay Yazılışı
2460,20,112,vemey ya`mel mine-ṣṣâliḥâti vehuve mu'minun felâ yeḫâfu żulmev velâ haḍmâ.,Abay Yazılışı
2461,20,113,vekeẕâlike enzelnâhu ḳur'ânen `arabiyyev veṣarrafnâ fîhi mine-lve`îdi le`allehum yetteḳûne ev yuḥdiŝu lehum ẕikrâ.,Abay Yazılışı
2462,20,114,fete`âle-llâhu-lmeliku-lḥaḳḳ. velâ ta`cel bilḳur'âni min ḳabli ey yuḳḍâ ileyke vaḥyuh. veḳur rabbi zidnî `ilmâ.,Abay Yazılışı
2463,20,115,veleḳad `ahidnâ ilâ âdeme min ḳablu fenesiye velem necid lehû `azmâ.,Abay Yazılışı
2464,20,116,veiẕ ḳulnâ lilmelâiketi-scudû liâdeme fesecedû illâ iblîs. ebâ.,Abay Yazılışı
2465,20,117,feḳulnâ yâ âdemu inne hâẕâ `aduvvul leke velizevcike felâ yuḫricennekumâ mine-lcenneti feteşḳâ.,Abay Yazılışı
2466,20,118,inne leke ellâ tecû`a fîhâ velâ ta`râ.,Abay Yazılışı
2467,20,119,veenneke lâ tażmeu fîhâ velâ taḍḥâ.,Abay Yazılışı
2468,20,120,fevesvese ileyhi-şşeyṭânu ḳâle yâ âdemu hel edulluke `alâ şecerati-lḫuldi vemulkil lâ yeblâ.,Abay Yazılışı
2469,20,121,feekelâ minhâ febedet lehumâ sev'âtuhumâ veṭafiḳâ yaḫṣifâni `aleyhimâ miv veraḳi-lcenneh. ve`aṣâ âdemu rabbehû fegavâ.,Abay Yazılışı
2470,20,122,ŝumme-ctebâhu rabbuhû fetâbe `aleyhi vehedâ.,Abay Yazılışı
2471,20,123,ḳâle-hbiṭâ minhâ cemî`am ba`ḍukum liba`ḍin `aduvv. feimmâ ye'tiyennekum minnî huden femeni-ttebe`a hudâye felâ yeḍillu velâ yeşḳâ.,Abay Yazılışı
2472,20,124,vemen a`raḍa `an ẕikrî feinne lehû me`îşeten ḍankev venaḥşuruhû yevme-lḳiyâmeti a`mâ.,Abay Yazılışı
2473,20,125,ḳâle rabbi lime ḥaşertenî a`mâ veḳad kuntu beṣîrâ.,Abay Yazılışı
2474,20,126,ḳâle keẕâlike etetke âyâtunâ fenesîtehâ. vekeẕâlike-lyevme tunsâ.,Abay Yazılışı
2475,20,127,vekeẕâlike neczî men esrafe velem yu'mim biâyâti rabbih. vele`aẕâbu-l'âḫirati eşeddu veebḳâ.,Abay Yazılışı
2476,20,128,efelem yehdi lehum kem ehleknâ ḳablehum mine-lḳurûni yemşûne fî mesâkinihim. inne fî ẕâlike leâyâtil liuli-nnuhâ.,Abay Yazılışı
2477,20,129,velevlâ kelimetun sebeḳat mir rabbike lekâne lizâmev veecelum musemmâ.,Abay Yazılışı
2478,20,130,faṣbir `alâ mâ yeḳûlûne vesebbiḥ biḥamdi rabbike ḳable ṭulû`i-şşemsi veḳable gurûbihâ. vemin ânâi-lleyli fesebbiḥ veaṭrâfe-nnehâri le`alleke terḍâ.,Abay Yazılışı
2479,20,131,velâ temuddenne `ayneyke ilâ mâ metta`nâ bihî ezvâcem minhum zehrate-lḥayâti-ddunyâ lineftinehum fîh. verizḳu rabbike ḫayruv veebḳâ.,Abay Yazılışı
2480,20,132,ve'mur ehleke biṣṣalâti vaṣṭabir `aleyhâ. lâ nes'eluke rizḳâ. naḥnu nerzuḳuk. vel`âḳibetu littaḳvâ.,Abay Yazılışı
2481,20,133,veḳâlû levlâ ye'tînâ biâyetim mir rabbih. evelem te'tihim beyyinetu mâ fi-ṣṣuḥufi-l'ûlâ.,Abay Yazılışı
2482,20,134,velev ennâ ehleknâhum bi`aẕâbim min ḳablihî leḳâlû rabbenâ levlâ erselte ileynâ rasûlen fenettebi`a âyâtike min ḳabli en neẕille venaḫzâ.,Abay Yazılışı
2483,20,135,ḳul kullum muterabbiṣun feterabbeṣû. feseta`lemûne men aṣḥâbu-ṣṣirâṭi-sseviyyi vemeni-htedâ.,Abay Yazılışı
2484,21,1,iḳterabe linnâsi ḥisâbuhum vehum fî gafletim mu`riḍûn.,Abay Yazılışı
2485,21,2,mâ ye'tîhim min ẕikrim mir rabbihim muḥdeŝin ille-steme`ûhu vehum yel`abûn.,Abay Yazılışı
2486,21,3,lâhiyeten ḳulûbuhum. veeserru-nnecvâ. elleẕîne żalemû. hel hâẕâ illâ beşer miŝlukum. efete'tûne-ssiḥra veentum tubṣirûn.,Abay Yazılışı
2487,21,4,ḳâle rabbî ya`lemu-lḳavle fi-ssemâi vel'arḍ. vehuve-ssemî`u-l`alîm.,Abay Yazılışı
2488,21,5,bel ḳâlû aḍgâŝu aḥlâmim beli-fterâhu bel huve şâ`ir. felye'tinâ biâyetin kemâ ursile-l'evvelûn.,Abay Yazılışı
2489,21,6,mâ âmenet ḳablehum min ḳaryetin ehleknâhâ. efehum yu'minûn.,Abay Yazılışı
2490,21,7,vemâ erselnâ ḳableke illâ ricâlen nûḥî ileyhim fes'elû ehle-ẕẕikri in kuntum lâ ta`lemûn.,Abay Yazılışı
2491,21,8,vemâ ce`alnâhum cesedel lâ ye'kulûne-ṭṭa`âme vemâ kânû ḫâlidîn.,Abay Yazılışı
2492,21,9,ŝumme ṣadaḳnâhumu-lva`de feenceynâhum vemen neşâu veehlekne-lmusrifîn.,Abay Yazılışı
2493,21,10,leḳad enzelnâ ileykum kitâben fîhi ẕikrukum. efelâ ta`ḳilûn.,Abay Yazılışı
2494,21,11,vekem ḳaṣamnâ min ḳaryetin kânet żâlimetev veenşe'nâ ba`dehâ ḳavmen âḫarîn.,Abay Yazılışı
2495,21,12,felemmâ eḥassû be'senâ iẕâ hum minhâ yerkuḍûn.,Abay Yazılışı
2496,21,13,lâ terkuḍû verci`û ilâ mâ utriftum fîhi vemesâkinikum le`allekum tus'elûn.,Abay Yazılışı
2497,21,14,ḳâlû yâ veylenâ innâ kunnâ żâlimîn.,Abay Yazılışı
2498,21,15,femâ zâlet tilke da`vâhum ḥattâ ce`alnâhum ḥaṣîden ḫâmidîn.,Abay Yazılışı
2499,21,16,vemâ ḫalaḳne-ssemâe vel'arḍa vemâ beynehumâ lâ`ibîn.,Abay Yazılışı
2500,21,17,lev eradnâ en netteḫiẕe lehvel letteḫaẕnâhu mil ledunnâ. in kunnâ fâ`ilîn.,Abay Yazılışı
2501,21,18,bel naḳẕifu bilḥaḳḳi `ale-lbâṭili feyedmeguhû feiẕâ huve zâhiḳ. velekumu-lveylu mimmâ teṣifûn.,Abay Yazılışı
2502,21,19,velehû men fi-ssemâvâti vel'arḍ. vemen `indehû lâ yestekbirûne `an `ibâdetihî velâ yestaḥsirûn.,Abay Yazılışı
2503,21,20,yusebbiḥûne-lleyle vennehâra lâ yefturûn.,Abay Yazılışı
2504,21,21,emi-tteḫaẕû âlihetem mine-l'arḍi hum yunşirûn.,Abay Yazılışı
2505,21,22,lev kâne fîhimâ âlihetun ille-llâhu lefesedetâ. fesubḥâne-llâhi rabbi-l`arşi `ammâ yeṣifûn.,Abay Yazılışı
2506,21,23,lâ yus'elu `ammâ yef`alu vehum yus'elûn.,Abay Yazılışı
2507,21,24,emi-tteḫaẕû min dûnihî âliheh. ḳul hâtû burhânekum. hâẕâ ẕikru mem me`iye veẕikru men ḳablî. bel ekŝeruhum lâ ya`lemûne-lḥaḳḳa fehum mu`riḍûn.,Abay Yazılışı
