sira,sure,ayet,metin,hoca,arapca
2562,21,79,Böylece bunu (bu fetvayı) Süleyman'a biz öğretmiştik. Biz onların hepsine doğru hüküm verme yeteneği ve ilim vermiştik. Kuşları ve tesbih eden (yücelten) dağları da Davud'a boyun eğdirmiştik.[1] (Bunları) biz yapmaktayız.,Mehmet Okuyan,فَفَهَّمْنَاهَا سُلَيْمٰنَۚ وَكُلاًّ اٰتَيْنَا حُكْماً وَعِلْماًۘ وَسَخَّرْنَا مَعَ دَاوُ۫دَ الْجِبَالَ يُسَبِّحْنَ وَالطَّيْرَۜ وَكُنَّا فَاعِل۪ينَ
2563,21,80,"Ona, savaştan (düşmandan) sizi koruması için zırh yapmayı öğretmiştik. (Artık) şükredecek misiniz?[1]",Mehmet Okuyan,وَعَلَّمْنَاهُ صَنْعَةَ لَبُوسٍ لَكُمْ لِتُحْصِنَكُمْ مِنْ بَأْسِكُمْۚ فَهَلْ اَنْتُمْ شَاكِرُونَ
2564,21,81,Kasırga (gibi esen) rüzgârı da Süleyman'ın hizmetine vermiştik;[1] O'nun emriyle içinde bereketli kıldığımız toprağa[2] doğru akardı (eserdi). Biz her şeyi bilenleriz.,Mehmet Okuyan,وَلِسُلَيْمٰنَ الرّ۪يحَ عَاصِفَةً تَجْر۪ي بِاَمْرِه۪ٓ اِلَى الْاَرْضِ الَّت۪ي بَارَكْنَا ف۪يهَاۜ وَكُنَّا بِكُلِّ شَيْءٍ عَالِم۪ينَ
2565,21,82,Şeytan(laşmış insan)lar arasından da onun için dalgıçlık yapan (inci çıkaran)[1] ve bundan başka işler görenler vardı. Onları gözetim altında tutuyorduk.,Mehmet Okuyan,وَمِنَ الشَّيَاط۪ينِ مَنْ يَغُوصُونَ لَهُ وَيَعْمَلُونَ عَمَلاً دُونَ ذٰلِكَۚ وَكُنَّا لَهُمْ حَافِظ۪ينَۙ
2566,21,83,"Eyüp'ü de (an)! Hani Rabbine ""Başıma bu dert geldi.[1] Sen merhametlilerin en merhametlisisin."" diye seslenmişti.",Mehmet Okuyan,وَاَيُّوبَ اِذْ نَادٰى رَبَّهُٓ اَنّ۪ي مَسَّنِيَ الضُّرُّ وَاَنْتَ اَرْحَمُ الرَّاحِم۪ينَۚ
2567,21,84,"Tarafımızdan bir merhamet ve kulluk edenler için bir hatırla(t)ma olmak üzere onun duasına cevap vermiş, kendisindeki sıkıntıyı gidermiş ve ona ailesini, ayrıca bunlarla birlikte bir mislini (beklemediği diğer yakınlarını) daha vermiştik.",Mehmet Okuyan,فَاسْتَجَبْنَا لَهُ فَكَشَفْنَا مَا بِه۪ مِنْ ضُرٍّ وَاٰتَيْنَاهُ اَهْلَهُ وَمِثْلَهُمْ مَعَهُمْ رَحْمَةً مِنْ عِنْدِنَا وَذِكْرٰى لِلْعَابِد۪ينَ
2568,21,85,"İsmail'i, İdris'i ve Zülkifl'i de (an)! Hepsi de sabreden kişilerdendi.",Mehmet Okuyan,وَاِسْمٰع۪يلَ وَاِدْر۪يسَ وَذَا الْكِفْلِۜ  كُلٌّ مِنَ الصَّابِر۪ينَۚ
2569,21,86,Onları merhametimize yerleştirmiştik. Şüphesiz ki onlar da iyilerdendi.,Mehmet Okuyan,وَاَدْخَلْنَاهُمْ ف۪ي رَحْمَتِنَاۜ اِنَّهُمْ مِنَ الصَّالِح۪ينَ
2570,21,87,"Balık sahibini de (Yunus'u da an)![1] Hani o, kendisine gücümüzün yetmeyeceğini sanarak öfkeyle çekip gitmişti.[2] Karanlıkların[3] içinde şöyle dua etmişti: ""(Rabbim)! Senden başka ilah yoktur; sen yücesin. Şüphesiz ki ben haksızlık edenlerden oldum.""",Mehmet Okuyan,وَذَا النُّونِ اِذْ ذَهَبَ مُغَاضِباً فَظَنَّ اَنْ لَنْ نَقْدِرَ عَلَيْهِ فَنَادٰى فِي الظُّلُمَاتِ اَنْ لَٓا اِلٰهَ اِلَّٓا اَنْتَ سُبْحَانَكَۗ اِنّ۪ي كُنْتُ مِنَ الظَّالِم۪ينَۚ
2571,21,88,"Biz de onun bu duasına cevap vermiş ve (içine düştüğü) sıkıntıdan onu kurtarmıştık. Biz, müminleri işte böyle kurtarırız.[1]",Mehmet Okuyan,فَاسْتَجَبْنَا لَهُۙ وَنَجَّيْنَاهُ مِنَ الْغَمِّۜ وَكَذٰلِكَ نُنْجِي الْمُؤْمِن۪ينَ
2572,21,89,"Zekeriya'yı da (an)! Hani o, Rabbine şöyle seslenmişti: ""Rabbim! Beni yalnız bırakma! Sen vârislerin en hayırlısısın.""",Mehmet Okuyan,وَزَكَرِيَّٓا اِذْ نَادٰى رَبَّهُ رَبِّ لَا تَذَرْن۪ي فَرْداً وَاَنْتَ خَيْرُ الْوَارِث۪ينَۚ
2573,21,90,"Biz onun da duasına cevap vermiş ve ona Yahya'yı bağışlamıştık; eşini de kendisi için (çocuk doğurmaya) elverişli kılmıştık. Onlar hayır işlerinde koşuşur, (merhametimizi) umarak ve (azabımızdan) korkarak[1] bize yalvarırlardı. Onlar, bize saygı içindeydiler.[2]",Mehmet Okuyan,فَاسْتَجَبْنَا لَهُۘ وَوَهَبْنَا لَهُ يَحْيٰى وَاَصْلَحْنَا لَهُ زَوْجَهُۜ اِنَّهُمْ كَانُوا يُسَارِعُونَ فِي الْخَيْرَاتِ وَيَدْعُونَنَا رَغَباً وَرَهَباًۜ وَكَانُوا لَنَا خَاشِع۪ينَ
2574,21,91,"Namusunu korumuş olanı (Meryem'i de an)! Biz ona rûhumuzdan üflemiş, onu ve oğlunu âlemler (insanlar) için bir ayet (mucize) kılmıştık.[1]",Mehmet Okuyan,وَالَّت۪ٓي اَحْصَنَتْ فَرْجَهَا فَنَفَخْنَا ف۪يهَا مِنْ رُوحِنَا وَجَعَلْنَاهَا وَابْنَهَٓا اٰيَةً لِلْعَالَم۪ينَ
2575,21,92,"Şüphesiz ki bu (peygamberler ve iman edenler), tek bir ümmet olarak sizin ümmetinizdir.[1] Ben de sizin Rabbinizim. Öyle ise bana kulluk edin!",Mehmet Okuyan,اِنَّ هٰذِه۪ٓ اُمَّتُكُمْ اُمَّةً وَاحِدَةًۘ وَاَنَا۬ رَبُّكُمْ فَاعْبُدُونِ
2576,21,93,(İnsanlar) kendi aralarında işlerini paramparça ettiler.[1] (Oysa) hepsi bize döneceklerdir.,Mehmet Okuyan,وَتَقَطَّعُٓوا اَمْرَهُمْ بَيْنَهُمْۜ كُلٌّ اِلَيْنَا رَاجِعُونَ۟
2577,21,94,Kim mümin olarak iyi işlerden yaparsa onun çabası görmezden gelinmez. Şüphesiz ki biz onu yazmaktayız.[1],Mehmet Okuyan,فَمَنْ يَعْمَلْ مِنَ الصَّالِحَاتِ وَهُوَ مُؤْمِنٌ فَلَا كُفْرَانَ لِسَعْيِه۪ۚ وَاِنَّا لَهُ كَاتِبُونَ
2578,21,95,Helak ettiğimiz bir şehir için artık (yenilenmek) imkânsızdır; şüphesiz ki onlar geri dönemeyeceklerdir.,Mehmet Okuyan,وَحَرَامٌ عَلٰى قَرْيَةٍ اَهْلَكْنَاهَٓا اَنَّهُمْ لَا يَرْجِعُونَ
2579,21,96,"Sonunda Ye'cûc ve Me'cûc[1] (setleri) açıldığı, onlar her tepeden akın ettiği,",Mehmet Okuyan,حَتّٰٓى اِذَا فُتِحَتْ يَأْجُوجُ وَمَأْجُوجُ وَهُمْ مِنْ كُلِّ حَدَبٍ يَنْسِلُونَ
2580,21,97,"Ve gerçek vaat (Son Saat) yaklaşınca, kâfir olanların gözleri birdenbire donakalır! (Onlar) ""Ah, eyvah, yazıklar olsun bize! Elbette bu durumdan habersizmişiz; hatta biz zalimlermişiz!"" (diyeceklerdir).",Mehmet Okuyan,وَاقْتَرَبَ الْوَعْدُ الْحَقُّ فَاِذَا هِيَ شَاخِصَةٌ اَبْصَارُ الَّذ۪ينَ كَفَرُواۜ يَا وَيْلَنَا قَدْ كُنَّا ف۪ي غَفْلَةٍ مِنْ هٰذَا بَلْ كُنَّا ظَالِم۪ينَ
2581,21,98,Siz ve Allah'ın peşi sıra taptığınız şeyler cehennem yakıtısınız. Siz oraya gireceksiniz.,Mehmet Okuyan,اِنَّكُمْ وَمَا تَعْبُدُونَ مِنْ دُونِ اللّٰهِ حَصَبُ جَهَنَّمَۜ اَنْتُمْ لَهَا وَارِدُونَ
2582,21,99,"Onlar ilah olsalardı, oraya girmezlerdi. Hepsi orada ebedî kalacaklardır.",Mehmet Okuyan,لَوْ كَانَ هٰٓؤُ۬لَٓاءِ اٰلِهَةً مَا وَرَدُوهَاۜ وَكُلٌّ ف۪يهَا خَالِدُونَ
2583,21,100,Orada onlar için inlemek vardır. Onlar orada (iyi haber) duyamayacaklardır.,Mehmet Okuyan,لَهُمْ ف۪يهَا زَف۪يرٌ وَهُمْ ف۪يهَا لَا يَسْمَعُونَ
2584,21,101,"Tarafımızdan kendileri için güzel (hüküm) verilmiş olanlara gelince, işte onlar cehennemden uzak tutulmuş olacaklardır.[1]",Mehmet Okuyan,اِنَّ الَّذ۪ينَ سَبَقَتْ لَهُمْ مِنَّا الْحُسْنٰٓىۙ اُو۬لٰٓئِكَ عَنْهَا مُبْعَدُونَۙ
2585,21,102,Onun (cehennemin) uğultusunu bile duymayacaklardır; onlar canlarının istediği (nimetler) içinde ebedî kalıcıdır.,Mehmet Okuyan,لَا يَسْمَعُونَ حَس۪يسَهَاۚ وَهُمْ ف۪ي مَا اشْتَهَتْ اَنْفُسُهُمْ خَالِدُونَۚ
2586,21,103,"En büyük dehşet bile onları hüzünlendirmeyecektir.[1] Melekler kendilerini şöyle karşılayacaktır: ""İşte bu, size vadedilmiş olan (mutlu) gününüzdür.""[2]",Mehmet Okuyan,لَا يَحْزُنُهُمُ الْفَزَعُ الْاَكْبَرُ وَتَتَلَقّٰيهُمُ الْمَلٰٓئِكَةُۜ هٰذَا يَوْمُكُمُ الَّذ۪ي كُنْتُمْ تُوعَدُونَ
2587,21,104,"O gün, yazılı kâğıt tomarlarını dürer gibi göğü toplayıp düreriz. İlk yaratmaya başladığımız gibi üzerimize aldığımız bir vaat olarak onu tekrar yaratacağız.[1] Şüphesiz ki biz (vadettiğimizi) yaparız.",Mehmet Okuyan,يَوْمَ نَطْوِي السَّمَٓاءَ كَطَيِّ السِّجِلِّ لِلْكُتُبِۜ كَمَا بَدَأْنَٓا اَوَّلَ خَلْقٍ نُع۪يدُهُۜ وَعْداً عَلَيْنَاۜ اِنَّا كُنَّا فَاعِل۪ينَ
2588,21,105,"Yemin olsun ki Zikr'den (Tevrat'tan) sonra Zebur'da da ""Yeryüzüne iyi kullarım vâris olacaktır."" diye yazmıştık.[1]",Mehmet Okuyan,وَلَقَدْ كَتَبْنَا فِي الزَّبُورِ مِنْ بَعْدِ الذِّكْرِ اَنَّ الْاَرْضَ يَرِثُهَا عِبَادِيَ الصَّالِحُونَ
2589,21,106,"Şüphesiz ki bunda, (bize) kulluk eden toplum için bir mesaj vardır.",Mehmet Okuyan,اِنَّ ف۪ي هٰذَا لَبَلَاغاً لِقَوْمٍ عَابِد۪ينَۜ
2590,21,107,Biz seni ancak âlemlere rahmet(imiz) için gönderdik.[1],Mehmet Okuyan,وَمَٓا اَرْسَلْنَاكَ اِلَّا رَحْمَةً لِلْعَالَم۪ينَ
2591,21,108,"De ki: ""Bana ‘ilahınızın tek bir ilah olduğu' vahyolunuyor. O'na boyun eğecek misiniz?""",Mehmet Okuyan,قُلْ اِنَّمَا يُوحٰٓى اِلَيَّ اَنَّـمَٓا اِلٰهُكُمْ اِلٰهٌ وَاحِدٌۚ فَهَلْ اَنْتُمْ مُسْلِمُونَ
2592,21,109,"Yüz çevirirlerse de ki: ""(Bana emrolunanı) hepinize eşit olarak açıkladım. Size vadolunan şey yakın mı uzak mı bilmiyorum.[1]",Mehmet Okuyan,فَاِنْ تَوَلَّوْا فَقُلْ اٰذَنْتُكُمْ عَلٰى سَوَٓاءٍۜ وَاِنْ اَدْر۪ٓي اَقَر۪يبٌ اَمْ بَع۪يدٌ مَا تُوعَدُونَ
2593,21,110,"Şüphesiz ki (Allah) sözün açığını da bilir, gizlediklerinizi de bilir.""[1]",Mehmet Okuyan,اِنَّهُ يَعْلَمُ الْجَهْرَ مِنَ الْقَوْلِ وَيَعْلَمُ مَا تَكْتُمُونَ
2594,21,111,"(Peygamber:) ""Bilmiyorum, belki de o (azabın ertelenmesi), sizin için bir imtihan ve belirli bir zamana kadar sizi yararlandırmak içindir.",Mehmet Okuyan,وَاِنْ اَدْر۪ي لَعَلَّهُ فِتْنَةٌ لَكُمْ وَمَتَاعٌ اِلٰى ح۪ينٍ
2595,21,112,"Rabbim! (Onlar hakkında) adaletinle hükmünü ver! Bizim Rabbimiz, sizin anlattıklarınıza karşı yardımı umulan[1] Rahmân'dır."" demişti.",Mehmet Okuyan,قَالَ رَبِّ احْكُمْ بِالْحَقِّۜ وَرَبُّنَا الرَّحْمٰنُ الْمُسْتَعَانُ عَلٰى مَا تَصِفُونَ
2596,22,1,Ey insanlar! Rabbinize karşı takvâlı (duyarlı) olun! Şüphesiz ki o (Son) Saat'in sarsıntısı müthiş bir şeydir!,Mehmet Okuyan,يَٓا اَيُّهَا النَّاسُ اتَّقُوا رَبَّكُمْۚ اِنَّ زَلْزَلَةَ السَّاعَةِ شَيْءٌ عَظ۪يمٌ
2597,22,2,"Onu gördüğünüz gün, her emziren emzirdiğini unutur; her gebe de taşıdığını düşürür. İnsanları sarhoş olmamalarına rağmen sarhoş bir hâlde görürsün. Fakat Allah'ın azabı çok daha şiddetlidir!",Mehmet Okuyan,يَوْمَ تَرَوْنَهَا تَذْهَلُ كُلُّ مُرْضِعَةٍ عَمَّٓا اَرْضَعَتْ وَتَضَعُ كُلُّ ذَاتِ حَمْلٍ حَمْلَهَا وَتَرَى النَّاسَ سُكَارٰى وَمَا هُمْ بِسُكَارٰى وَلٰكِنَّ عَذَابَ اللّٰهِ شَد۪يدٌ
2598,22,3,"İnsanların bir kısmı, bilgisi olmaksızın Allah hakkında tartışmaya girer ve her azgın şeytana uyar.[1]",Mehmet Okuyan,وَمِنَ النَّاسِ مَنْ يُجَادِلُ فِي اللّٰهِ بِغَيْرِ عِلْمٍ وَيَتَّبِعُ كُلَّ شَيْطَانٍ مَر۪يدٍۙ
2599,22,4,"Onun (şeytanın) hakkında şöyle yazılmıştır: ""Kim onu yoldaş edinirse, bilsin ki (şeytan) kendisini saptıracak ve alevli ateşin azabına sürükleyecektir.""[1]",Mehmet Okuyan,كُتِبَ عَلَيْهِ اَنَّهُ مَنْ تَوَلَّاهُ فَاَنَّهُ يُضِلُّهُ وَيَهْد۪يهِ اِلٰى عَذَابِ السَّع۪يرِ
2600,22,5,"Ey insanlar! Diriltilmekten şüphedeyseniz, (bilin ki) biz sizi topraktan, sonra nutfeden (zigottan), sonra ‘alakadan (embriyodan), sonra organları belirlenmiş, (detayları) belirlenmemiş bir mudğadan (et parçacığından) yarattık ki size (kudretimizi) gösterelim.[1] Dilediğimizi, belirlenmiş bir süreye kadar rahimlerde bekletiriz;[2] sonra sizi bir bebek olarak doğumla (dışarı) çıkartırız.[3] Sonra güçlü çağınıza ulaşmanız için (sizi büyütürüz). Kiminiz vefat ettirilir; kiminiz de bilgiden sonra (biliyorken) bir şey bilmez hâle gelsin diye ömrün en sıkıntılı çağına[4] kadar götürülür.[5] Yeri de kupkuru (ölü) bir hâlde görürsün; biz onun (toprağın) üzerine suyu indirdiğimiz zaman bir de bakarsın ki kıpırdayıp kabarır ve her iç açıcı çiftten (bitkiler) yetiştirir.[6]",Mehmet Okuyan,يَٓا اَيُّهَا النَّاسُ اِنْ كُنْتُمْ ف۪ي رَيْبٍ مِنَ الْبَعْثِ فَاِنَّا خَلَقْنَاكُمْ مِنْ تُرَابٍ ثُمَّ مِنْ نُطْفَةٍ ثُمَّ مِنْ عَلَقَةٍ ثُمَّ مِنْ مُضْغَةٍ مُخَلَّقَةٍ وَغَيْرِ مُخَلَّقَةٍ لِنُبَيِّنَ لَكُمْۜ وَنُقِرُّ فِي الْاَرْحَامِ مَا نَشَٓاءُ اِلٰٓى اَجَلٍ مُسَمًّى ثُمَّ نُخْرِجُكُمْ طِفْلاً ثُمَّ لِتَبْلُغُٓوا اَشُدَّكُمْۚ وَمِنْكُمْ مَنْ يُتَوَفّٰى وَمِنْكُمْ مَنْ يُرَدُّ اِلٰٓى اَرْذَلِ الْعُمُرِ لِكَيْلَا يَعْلَمَ مِنْ بَعْدِ عِلْمٍ شَيْـٔاًۜ وَتَرَى الْاَرْضَ هَامِدَةً فَاِذَٓا اَنْزَلْنَا عَلَيْهَا الْمَٓاءَ اهْتَزَّتْ وَرَبَتْ وَاَنْبَتَتْ مِنْ كُلِّ زَوْجٍ بَه۪يجٍ
2601,22,6,"Çünkü Allah gerçeğin ta kendisidir;[1] şüphesiz ki O, ölüleri diriltir;[2] O, her şeye gücü yetendir.",Mehmet Okuyan,ذٰلِكَ بِاَنَّ اللّٰهَ هُوَ الْحَقُّ وَاَنَّهُ يُحْـيِ الْمَوْتٰى وَاَنَّهُ عَلٰى كُلِّ شَيْءٍ قَد۪يرٌۙ
2602,22,7,O (Son) Saat mutlaka gelecektir; bunda hiçbir şüphe yoktur. Şüphesiz ki Allah mezarlardakileri diriltecektir.,Mehmet Okuyan,وَاَنَّ السَّاعَةَ اٰتِيَةٌ لَا رَيْبَ ف۪يهَاۙ وَاَنَّ اللّٰهَ يَبْعَثُ مَنْ فِي الْقُبُورِ
2603,22,8,"İnsanların bir kısmı -bilgisi, rehberi ve aydınlatıcı bir kitabı olmaksızın- Allah hakkında tartışmaktadır.[1]",Mehmet Okuyan,وَمِنَ النَّاسِ مَنْ يُجَادِلُ فِي اللّٰهِ بِغَيْرِ عِلْمٍ وَلَا هُدًى وَلَا كِتَابٍ مُن۪يرٍۙ
2604,22,9,Allah yolundan (insanları) saptırmak için yanını eğip bükerek (kibir içinde tartışmaya kalkar). Onun için dünyada bir rezillik vardır; kıyamet gününde ise ona yakıcı azabı tattıracağız.,Mehmet Okuyan,ثَانِيَ عِطْفِه۪ لِيُضِلَّ عَنْ سَب۪يلِ اللّٰهِۜ لَهُ فِي الدُّنْيَا خِزْيٌ وَنُذ۪يقُهُ يَوْمَ الْقِيٰمَةِ عَذَابَ الْحَر۪يقِ
2605,22,10,"(Onlara): ""İşte bu, ellerini(zi)n öne sunduğu şeyler yüzündendir."" (denecektir). Elbette Allah kullara asla haksızlık edici değildir.[1]",Mehmet Okuyan,ذٰلِكَ بِمَا قَدَّمَتْ يَدَاكَ وَاَنَّ اللّٰهَ لَيْسَ بِظَلَّامٍ لِلْعَب۪يدِ۟
2606,22,11,"İnsanlardan kimi, Allah'a (imanla küfrün) sınır(ın)da kulluk eder.[1] Kendisine bir iyilik dokunursa bununla huzurlu olur; ağır imtihana uğrarsa yüzü değişir (dinden yüz çevirir). O, dünya(sın)ı da ahiret(in)i de kaybetmiştir. Asıl apaçık kayıp işte budur!",Mehmet Okuyan,وَمِنَ النَّاسِ مَنْ يَعْبُدُ اللّٰهَ عَلٰى حَرْفٍۚ فَاِنْ اَصَابَهُ خَيْرٌۨ اطْمَاَنَّ بِه۪ۚ وَاِنْ اَصَابَتْهُ فِتْنَةٌۨ انْقَلَبَ عَلٰى وَجْهِه۪۠ خَسِرَ الدُّنْيَا وَالْاٰخِرَةَۜ ذٰلِكَ هُوَ الْخُسْرَانُ الْمُب۪ينُ
2607,22,12,"O, Allah'ın peşi sıra kendisine yararı da zararı da dokunamayacak şeylere yalvarır. Asıl uzak sapkınlık işte budur.",Mehmet Okuyan,يَدْعُوا مِنْ دُونِ اللّٰهِ مَا لَا يَضُرُّهُ وَمَا لَا يَنْفَعُهُۜ ذٰلِكَ هُوَ الضَّلَالُ الْبَع۪يدُ
2608,22,13,"O, zararı yararından daha yakın (fazla) olan birine yalvarır.[1] O (yalvardığı) ne kötü bir yardımcı ne kötü bir dosttur!",Mehmet Okuyan,يَدْعُوا لَمَنْ ضَرُّهُٓ اَقْرَبُ مِنْ نَفْعِه۪ۜ لَبِئْسَ الْمَوْلٰى وَلَبِئْسَ الْعَش۪يرُ
2609,22,14,"Şüphesiz ki Allah iman edip iyi işler yapanları, altlarından ırmaklar akan cennetlere koyacaktır. Şüphesiz ki Allah istediğini yapar.[1]",Mehmet Okuyan,اِنَّ اللّٰهَ يُدْخِلُ الَّذ۪ينَ اٰمَنُوا وَعَمِلُوا الصَّالِحَاتِ جَنَّاتٍ تَجْر۪ي مِنْ تَحْتِهَا الْاَنْهَارُۜ اِنَّ اللّٰهَ يَفْعَلُ مَا يُر۪يدُ
2610,22,15,"Kim Allah'ın, dünya ve ahirette kendisine asla yardım etmeyeceğini sanıyorsa, artık göğe doğru bir sebebe uzansın; sonra da (diğer şeylerle ilişkisini) kessin! Baksın ki bu önlemi kendisini öfkelendiren şeyin kökünü nasıl da kazıyacak![1]",Mehmet Okuyan,مَنْ كَانَ يَظُنُّ اَنْ لَنْ يَنْصُرَهُ اللّٰهُ فِي الدُّنْيَا وَالْاٰخِرَةِ فَلْيَمْدُدْ بِسَبَبٍ اِلَى السَّمَٓاءِ ثُمَّ لْيَقْطَعْ فَلْيَنْظُرْ هَلْ يُذْهِبَنَّ كَيْدُهُ مَا يَغ۪يظُ
2611,22,16,İşte böylece biz onu (Kur'an'ı) apaçık ayetler hâlinde indirdik. Şüphesiz ki Allah dileyeni (layık gördüğünü) doğru yola ulaştırır.[1],Mehmet Okuyan,وَكَذٰلِكَ اَنْزَلْنَاهُ اٰيَاتٍ بَيِّنَاتٍۙ وَاَنَّ اللّٰهَ يَهْد۪ي مَنْ يُر۪يدُ
2612,22,17,"Şüphesiz ki iman edenler, yahudi olanlar, sabiiler,[1] hristiyanlar, mecusiler[2] ve müşrik olanlara gelince, şüphesiz ki Allah bunlar arasında kıyamet gününde (ayrı ayrı) hükmünü verecektir.[3] Şüphesiz ki Allah her şeye şahit olandır.",Mehmet Okuyan,اِنَّ الَّذ۪ينَ اٰمَنُوا وَالَّذ۪ينَ هَادُوا وَالصَّابِـ۪ٔينَ وَالنَّصَارٰى وَالْمَجُوسَ وَالَّذ۪ينَ اَشْرَكُواۗ اِنَّ اللّٰهَ يَفْصِلُ بَيْنَهُمْ يَوْمَ الْقِيٰمَةِۜ اِنَّ اللّٰهَ عَلٰى كُلِّ شَيْءٍ شَه۪يدٌ
2613,22,18,"Görmüyor musun ki göklerde ve yerde olanlar, güneş, ay, yıldızlar, dağlar, ağaçlar, canlılar ve insanların birçoğu Allah'a secde ediyor.[1] Bir çoğunun üzerine de azap hak olmuştur. Allah kimi değersiz kılarsa, artık onu değerli kılacak kimse yoktur. Şüphesiz ki Allah dilediğini yapar.[2]",Mehmet Okuyan,اَلَمْ تَرَ اَنَّ اللّٰهَ يَسْجُدُ لَهُ مَنْ فِي السَّمٰوَاتِ وَمَنْ فِي الْاَرْضِ وَالشَّمْسُ وَالْقَمَرُ وَالنُّجُومُ وَالْجِبَالُ وَالشَّجَرُ وَالدَّوَٓابُّ وَكَث۪يرٌ مِنَ النَّاسِۜ وَكَث۪يرٌ حَقَّ عَلَيْهِ الْعَذَابُۜ وَمَنْ يُهِنِ اللّٰهُ فَمَا لَهُ مِنْ مُكْرِمٍۜ اِنَّ اللّٰهَ يَفْعَلُ مَا يَشَٓاءُ
2614,22,19,"Şu iki grup, Rableri hakkında çekişen iki hasımdır: kâfir olanlar için ateşten bir elbise biçilmiştir. Başlarının üzerinden kaynar su dökülecektir!",Mehmet Okuyan,هٰذَانِ خَصْمَانِ اخْتَصَمُوا ف۪ي رَبِّهِمْۘ فَالَّذ۪ينَ كَفَرُوا قُطِّعَتْ لَهُمْ ثِيَابٌ مِنْ نَارٍۜ يُصَبُّ مِنْ فَوْقِ رُؤُ۫سِهِمُ الْحَم۪يمُۚ
2615,22,20,"Bununla, karınlarının içindeki (organlar) ve deriler(i) eritilecektir![1]",Mehmet Okuyan,يُصْهَرُ بِه۪ مَا ف۪ي بُطُونِهِمْ وَالْجُلُودُۜ
2616,22,21,Onlar için demir kamçılar da vardır![1],Mehmet Okuyan,وَلَهُمْ مَقَامِعُ مِنْ حَد۪يدٍ
2617,22,22,"Izdıraptan dolayı oradan her çıkmak istediklerinde, oraya geri döndürülecekler ve (onlara) ""Tadın bu yakıcı azabı!"" (denecektir).[1]",Mehmet Okuyan,كُلَّمَٓا اَرَادُٓوا اَنْ يَخْرُجُوا مِنْهَا مِنْ غَمٍّ اُع۪يدُوا ف۪يهَا وَذُوقُوا عَذَابَ الْحَر۪يقِ۟
2618,22,23,"Şüphesiz ki Allah iman edip iyi işler yapanları, altlarından ırmaklar akan cennetlere koyacaktır. Bunlar, orada altın bilezikler ve incilerle bezeneceklerdir. Orada giyecekleri ise ipektir.[1]",Mehmet Okuyan,اِنَّ اللّٰهَ يُدْخِلُ الَّذ۪ينَ اٰمَنُوا وَعَمِلُوا الصَّالِحَاتِ جَنَّاتٍ تَجْر۪ي مِنْ تَحْتِهَا الْاَنْهَارُ يُحَلَّوْنَ ف۪يهَا مِنْ اَسَاوِرَ مِنْ ذَهَبٍ وَلُؤْلُؤً۬اۜ وَلِبَاسُهُمْ ف۪يهَا حَر۪يرٌ
2619,22,24,"Onlar, sözün en temizine (güzeline) yöneltilmiş, övgüye layık olan (Allah)'ın yoluna ulaştırılmıştır.[1]",Mehmet Okuyan,وَهُدُٓوا اِلَى الطَّيِّبِ مِنَ الْقَوْلِۗ وَهُدُٓوا اِلٰى صِرَاطِ الْحَم۪يدِ
2620,22,25,"Kâfir olanlar, Allah'ın yolundan ve yerli (veya) uzaktan gelen bütün insanlara eşit[1] (kıble) kıldığımız Mescid-i Haram'dan (insanları) alıkoymaya kalkanlar (bilmeliler ki) kim orada (böyle) haksızlık ile gerçek(ler)den sapmak isterse ona acı azaptan tattırırız.",Mehmet Okuyan,اِنَّ الَّذ۪ينَ كَفَرُوا وَيَصُدُّونَ عَنْ سَب۪يلِ اللّٰهِ وَالْمَسْجِدِ الْحَرَامِ الَّذ۪ي جَعَلْنَاهُ لِلنَّاسِ سَوَٓاءًۨ الْعَاكِفُ ف۪يهِ وَالْبَادِۜ وَمَنْ يُرِدْ ف۪يهِ بِـاِلْحَادٍ بِظُـلْمٍ نُذِقْهُ مِنْ عَذَابٍ اَل۪يمٍ۟
2621,22,26,"Hani İbrahim'e Evin (Kâbe'nin) yerini göstermiş (şöyle demiştik): ""Bana hiçbir şeyi ortak koşma; tavaf edenler, ayakta ibadet edenler, rükû ve secde edenler için evimi temiz tut![1]",Mehmet Okuyan,وَاِذْ بَوَّأْنَا لِاِبْرٰه۪يمَ مَكَانَ الْبَيْتِ اَنْ لَا تُشْرِكْ ب۪ي شَيْـٔاً وَطَهِّرْ بَيْتِيَ لِلطَّٓائِف۪ينَ وَالْقَٓائِم۪ينَ وَالرُّكَّعِ السُّجُودِ
2622,22,27,"İnsanlar arasında haccı ilan et[1] ki gerek yaya olarak, gerekse uzak yoldan gelen binekler üzerinde sana gelsinler!",Mehmet Okuyan,وَاَذِّنْ فِي النَّاسِ بِالْحَجِّ يَأْتُوكَ رِجَالاً وَعَلٰى كُلِّ ضَامِرٍ يَأْت۪ينَ مِنْ كُلِّ فَجٍّ عَم۪يقٍۙ
