kelime,arapca_harfler,anlam
mevsuk,قﻮﺛﻮﻡ,"güvenilir, belgeye dayanan."
mevsûkiyet,ﺖﻴﻗﻮﺛﻮﻡ,"güvenilirlik, belgeye dayanma."
mevsûm,مﻮﺱﻮﻡ,adlandırılmış.
mevt,تﻮﻡ,ölüm.
mevtâ,ﺎﺕﻮﻡ,ölüler.
mevtâî,ﯽﺋﺎﺕﻮﻡ,ölümcül.
mevtın,ﻦﻃﻮﻡ,yurt.
mevzi,ﻊﺽﻮﻡ,yer.
mevzi’î,ﯽﻌﺽﻮﻡ,yerel.
mevzû,عﻮﺽﻮﻡ,konu.
mevzun,نوزﻮﻡ,"1.biçimli, düzgün. 2.vezinli."
meydân,ناﺪﻴﻡ,alan.
meyil,ﻞﻴﻡ,"istek, eğilim."
meyl,ﻞﻴﻡ,"1.eğim. 2.eğilim, istek. 3.yatkınlık."
meymene,ﻪﻨﻤﻴﻡ,sağ kanat.
meymûn,نﻮﻤﻴﻡ,uğurlu.
meysere,ﻩﺮﺴﻴﻡ,sol kanat.
meyt,ﺖﻴﻡ,ölü.
meyus,سﻮیﺄﻡ,"umutsuz, üzgün."
meyyâl,لﺎﻴﻡ,1.eğimli. 2.eğilimli.
meyyit,ﺖﻴﻡ,ölü.
mezâhib,ﺐهاﺬﻡ,mezhepler.
mezâlim,ﻢﻝﺎﻈﻡ,zulümlerr.
mezâmin,ﻦﻡﺎﻀﻡ,1.kavramlar. 2.incelikler. 3.semboller.
mezâri,عراﺰﻡ,tarlalar.
mezâyâ,ﺎیاﺰﻡ,"meziyetler, üstünlükler."
mezbele,ﻪﻠﺑﺰﻡ,"çöplük, döküntü alanı."
mezbuh,حﻮﺑﺬﻡ,boğazlanmış.
mezbûr,رﻮﺑﺰﻡ,"anılan, belirtilen."
mezc,جﺰﻡ,karıştırma.
mezellet,ﺖﻝﺬﻡ,düşkünlük.
mezheb,ﺐهﺬﻡ,1.yol. 2.mezhep. 3.ekol.
meziyyât,تﺎیﺰﻡ,"meziyetler, üstünlükler."
meziyyet,ﺖیﺰﻡ,üstünlük.
mezkûr,رﻮﮐﺬﻡ,"zikredilen, belirtilen, adı geçen."
mezmûm,مﻮﻡﺬﻡ,"kötülenmiş, ayıplanmış."
mezra,عرﺰﻡ,tarla.
mezra’a,ﻪﻋرﺰﻡ,tarla.
mezrû,عورﺰﻡ,ekili.
mezun,نوذﺄﻡ,1.izinli. 2.diplomalı.
mezunen,ﺎﻥوذﺄﻡ,"izin alarak, izinli olarak."
mıkraz,ضاﺮﻘﻡ,makas.
mıntaka,ﻪﻘﻄﻨﻡ,"1.bölge, mıntıka. 2.iklim kuşağı."
mısbah,حﺎﺒﺼﻡ,kandil.
mısdak,قاﺪﺼﻡ,"ölçüt, kriter."
mısra,عاﺮﺼﻡ,dize.
mıtrak,قﺮﻄﻡ,1.değnek. 2.tokmak. 3.çekiç.
mızrab,بﺮﻀﻡ,mızrap.
mızrak,قارﺰﻡ,kargı.
miâd,دﺎﻌﻴﻡ,buluşma yeri.
micmer,ﺮﻤﺠﻡ,buhurdan.
midevî,یوﺪﻌﻡ,mideyi yormayan.
midhat,ﺖﺣﺪﻡ,övgü.
mie,ﻪﺋﺎﻡ,yüz.
miftah,حﺎﺘﻔﻡ,anahtar.
miğfer,ﺮﻔﻐﻡ,tulga.
mihekk,ﮏﺤﻡ,mihenk taşı.
mihen,ﻦﺤﻡ,sıkıntılar.
mihnet,ﺖﻨﺤﻡ,"sıkıntı, acı, dert."
mihrak,قاﺮﺤﻡ,odak.
mihver,رﻮﺤﻡ,eksen.
mik’ab,ﺐﻌﮑﻡ,küp.
mîkat,تﺎﻘﻴﻡ,1.buluşma yeri. 2.buluşma zamanı.
mikdar,راﺪﻘﻡ,1.miktar. 2.değer. 3.derece.
mikraz,ضاﺮﻘﻡ,makas.
mikyas,سﺎﻴﻘﻡ,"ölçek, ölçü."
mil,ﻞﻴﻡ,1.şiş. 2.yol işareti.
mîlâd,دﻼﻴﻡ,doğum günü.
milel,ﻞﻠﻡ,1.milletler. 2.dinler.
milhafe,ﻪﻔﺤﻠﻡ,yorgan.
milk,ﮏﻠﻡ,mülk.
millet,ﺖﻠﻡ,1.din. 2.ulus.
millî,ﯽﻠﻡ,ulusal.
milliyye,ﻪﻴﻠﻡ,ulusal.
minba’d,ﺪﻌﺑ ﻦﻡ,bundan sonra.
minelkadim,ﻢیﺪﻘﻝا ﻦﻡ,eskiden beri.
minen,ﻦﻨﻡ,minnetler.
minkale,ﻪﻠﻘﻨﻡ,iletki.
minkar,رﺎﻘﻨﻡ,gaga.
minkaş,شﺎﻘﻨﻡ,cımbız.
minşâr,رﺎﺸﻨﻡ,bıçkı.
minvâl,لاﻮﻨﻡ,"tarz, yol."
mir’ât,تﺁﺮﻡ,ayna.
mirâc,جاﺮﻌﻡ,"miraç, göğe ağma."
mirâren,اراﺮﻡ,"defalarca, birçok kez."
mirsâd,دﺎﺹﺮﻡ,"gözlemevi, gözlem yeri."
mirvaha,ﻪﺣوﺮﻡ,yelpaze.
mîsak,قﺎﺜﻴﻡ,sözleşme.
misal,,örnek.
miskin,ﻦﻴﮑﺴﻡ,"1.zavallı, uyuşuk. 2.cüzzamlı."
misl,ﻞﺜﻡ,1.gibi. 2.kat.
mithara,ﻩﺮﻬﻄﻡ,matara.
miyâh,ﻩﺎﻴﻡ,sular.
miyâr,رﺎﻴﻌﻡ,ölçü.
mizâc,جاﺰﻡ,"huy, tabiat, mizaç."
mîzan,ناﺰﻴﻡ,"1.terazi. 2.ölçü. 3.terazi burcu. 4.mahşer günü, kıyamet"
mu‘arrif,فﺮﻌﻡ,"1.tanıtan, sunan, bildiren. 2.hayır sahiplerinin adlarını"
mu’cizât,تاﺰﺠﻌﻡ,mucizeler.
mu’tâ,ﯽﻄﻌﻡ,"1.veri. 2.verilen, verilmiş."
mu’tâd,دﺎﺘﻌﻡ,alışılmış.
mu’tâde,ﻩدﺎﺘﻌﻡ,alışılmış.
mu’tiyat,تﺎﻴﻄﻌﻡ,veri.
muabbir,ﺮﺒﻌﻡ,rüya yorumcusu.
muaccel,ﻞﺠﻌﻡ,1.peşin. 2.acele edilmiş.
muaddil,لﺪﻌﻡ,denk.
muâdele,ﻪﻝدﺎﻌﻡ,denklem.
muâdelet,ﺖﻝدﺎﻌﻡ,denklik.
muâdil,لدﺎﻌﻡ,"denk, eşdeğer."
muâfiyet,ﺖﻴﻓﺎﻌﻡ,1.muaf tutulma. 2.bağışıklık.
muâhede,ﻩﺪهﺎﻌﻡ,"ahitleşme, antlaşma."
muâheze,ﻩﺬﺧاﺆﻡ,"çıkışma, azarlama, paylama."
muahhar,ﺮﺧﺆﻡ,"sonraki, daha sonraki, geç."
muakkib,ﺐﻘﻌﻡ,"takip eden, izleyen."
mualla,ﯽﻠﻌﻡ,"yüce, yüksek."
muallak,ﻖﻠﻌﻡ,"asılı, havada."
muallakiyet,ﺖﻴﻘﻠﻌﻡ,"havada kalma, asılı kalma, hükümsüz olma."
muallim,ﻢﻠﻌﻡ,öğretmen.
muallimât,تﺎﻤﻠﻌﻡ,bayan öğretmenler.
muallime,ﻪﻤﻠﻌﻡ,bayan öğretmen.
muallimîn,ﻦﻴﻤﻠﻌﻡ,öğretmenler.
muamelat,تﻼﻡﺎﻌﻡ,işlemler.
muamele,ﻪﻠﻡﺎﻌﻡ,1.işlem. 2.davranış.
muamma,ﺎﻤﻌﻡ,bilmece.
muanber,ﺮﺒﻨﻌﻡ,"hoş kokulu, amberli."
muânid,ﺪﻥﺎﻌﻡ,inatçı.
muannid,ﺪﻨﻌﻡ,inatçı.
muâraza,ﻪﺽرﺎﻌﻡ,çatışkı.
muârız,ضرﺎﻌﻡ,"karşıt, itirazcı."
muarrâ,یﺮﻌﻡ,arınmış.
muâsır,ﺮﺹﺎﻌﻡ,çağdaş.
muâşaka,ﻪﻘﺵﺎﻌﻡ,sevişme.
muâvaza,ﻪﺽوﺎﻌﻡ,değiştokuş.
muavenet,ﺖﻥوﺎﻌﻡ,yardım.
muavin,نوﺎﻌﻡ,yardımcı.
muayede,ﻩﺪیﺎﻌﻡ,bayramlaşma.
muayyen,ﻦﻴﻌﻡ,belirli.
muazzam,ﻢﻈﻌﻡ,"azametli, ulu."
muazzeb,بﺬﻌﻡ,"acı çeken, azap çeken."
muazzez,زﺰﻌﻡ,"değerli, aziz."
mubassır,ﺮﺼﺒﻡ,okul düzenini sağlayan görevli.
mûcez,ﺰﺝﻮﻡ,"derli toplu, özlü."
mûcib,ﺐﺝﻮﻡ,1.gereken. 2.sebep.
mûcid,ﺪﺝﻮﻡ,"icat eden, mucit."
mudhike,ﻪﮑﺤﻀﻡ,gülünç.
mufassalan,ﻼﺼﻔﻡ,ayrıntılı olarak.
mugâlata,ﻪﻄﻝﺎﻐﻡ,yanıltmaca.
mugannî,ﯽﻨﻐﻡ,şarkıcı.
muganniye,ﻪﻴﻨﻐﻡ,bayan şarkıcı.
mugâyeret,تﺮیﺎﻐﻡ,"zıtlık, aykırılık."
mugayir,ﺮیﺎﻐﻡ,"aykırı, zıt."
muğber,ﺮﺒﻐﻡ,"kırgın, gücenik."
muğfil,ﻞﻔﻐﻡ,"aldatan, aldatıcı."
muğlak,ﻖﻠﻐﻡ,"karmaşık, çapraşık."
muğlakiyet,ﺖﻴﻘﻠﻐﻡ,"karmaşıklık, çapraşıklık."
muhabbet,ﺖﺒﺤﻡ,sevgi.
muhabere,ﻩﺮﺑﺎﺨﻡ,haberleşme.
muhabir,ﺮﺑﺎﺨﻡ,haberci.
muhâceret,تﺮﺝﺎﻬﻡ,göç.
muhacim,ﻢﺝﺎﻬﻡ,1.saldıran. 2.saldırgan.
muhacir,ﺮﺝﺎﻬﻡ,göçmen.
muhaddir,رﺪﺨﻡ,uyuşturucu.
muhaddis,ثﺪﺤﻡ,hadis bilgini.
muhafaza,ﻪﻈﻓﺎﺤﻡ,koruma.
muhaffef,ﻒﻔﺨﻡ,hafifletilmiş.
muhaffif,ﻒﻔﺨﻡ,hafifletici.
muhâfız,ﻆﻓﺎﺤﻡ,koruyucu.
muhâkemat,تﺎﻤﮐﺎﺤﻡ,1.hüküm yürütmeler. 2.yargılamalar.
muhakeme,ﻪﻤﮐﺎﺤﻡ,1.hüküm yürütme. 2.yargılama.
muhakkak,ﻖﻘﺤﻡ,1.doğru. 2.kesin. 3.mutlaka.
muhakkık,ﻖﻘﺤﻡ,"araştırmacı, tahkik edici."
muhâl,لﺎﺤﻡ,imkansız.
muhalefet,ﺖﻔﻝﺎﺨﻡ,karşı düşüncede olma.
muhallil,ﻞﻠﺤﻡ,hülleci.
muhammen,ﻦﻤﺨﻡ,tahmin edilen.
muhammer,ﺮﻤﺨﻡ,mayalı.
muhammes,ﺲﻤﺨﻡ,1.beşli. 2.beşgen. 3.beş dizeli şiir.
muhannens,ﺚﻨﺨﻡ,kalleş.
muhannet,ﻂﻨﺤﻡ,kalleş.
muharebat,تﺎﺑرﺎﺤﻡ,"harpler, muharebeler."
muharebe,ﻪﺑرﺎﺤﻡ,"harbetme, savaş."
muharib,برﺎﺤﻡ,savaşçı.
muharremât,تﺎﻡﺮﺤﻡ,dinî yasaklar.
muharrer,رﺮﺤﻡ,yazılı.
muharrib,بﺮﺨﻡ,"tahrip edici, yıkıcı."
muharrik,قﺮﺤﻡ,yakıcı.
muharrir,رﺮﺤﻡ,yazar.
muhasara,ﻩﺮﺹﺎﺤﻡ,"sarma, kuşatma."
muhasib,ﺐﺱﺎﺤﻡ,muhasebeci.
muhassala,ﻪﻠﺼﺤﻡ,sonuç.
muhassas,ﺺﺼﺨﻡ,"tahsis edilmiş, özgü."
muhât,طﺎﺤﻡ,"çevrili, kuşatılmış."
muhatara,ﻩﺮﻃﺎﺨﻡ,"1.tehlike. 2.zarar, ziyan."
muhavere,ﻩروﺎﺤﻡ,konuşma.
muhayyel,ﻞﻴﺨﻡ,hayal edilen.
muhayyile,ﻪﻠﻴﺨﻡ,hayal gücü.
muhayyirülukûl,لﻮﻘﻌﻝاﺮﻴﺤﻡ,akıllara durgunluk veren.
muhbir,ﺮﺒﺨﻡ,"haber veren, haberci."
muhık,ﻖﺤﻡ,haklı.
muhib,ﺐﺤﻡ,seven.
mûhiş,ﺶﺣﻮﻡ,"korkunç, korkutucu."
muhit,ﻂﻴﺤﻡ,"1.çevre. 2.saran, kuşatan."
muhtâc,جﺎﺘﺤﻡ,1.ihtiyaç sahibi. 2.yoksul.
muhtariyet,ﺖیرﺎﺘﺨﻡ,özerklik.
muhtasar,ﺮﺼﺘﺨﻡ,"kısa, özlü."
muhtasaran,اﺮﺼﺘﺨﻡ,kısaca.
muhtekir,ﺮﮑﺘﺤﻡ,vurguncu.
muhtelefünfîh,ﻪﻴﻓ ﻒﻠﺘﺨﻡ,ihtilaflı.
muhtelif,ﻒﻠﺘﺨﻡ,türlü.
muhtelit,ﻂﻠﺘﺨﻡ,karışık.
muhterem,مﺮﺘﺤﻡ,"saygın, saygıdeğer."
muhteriz,زﺮﺘﺤﻡ,"kaçınan, uzak duran."
muhteşem,ﻢﺸﺘﺤﻡ,"görkemli, ihtişamlı."
muhteva,اﻮﺘﺤﻡ,içerik.
muhtevî,یﻮﺘﺤﻡ,"içeren, içine alan."
muhteviyat,تﺎیﻮﺘﺤﻡ,içindekiler.
muhyî,ﯽﻴﺤﻡ,hayat veren.
mukâbil,ﻞﺑﺎﻘﻡ,1.karşılığında. 2.karşılık.
mukaddem,مﺪﻘﻡ,"1.önde. 2.önce, önceki."
mukaddemâ,ﺎﻡﺪﻘﻡ,önceden.
mukadderat,تارﺪﻘﻡ,yazgı.
mukaddes,سﺪﻘﻡ,kutsal.
mukaddesat,تﺎﺱﺪﻘﻡ,kutsal değerler.
mukaddime,ﻪﻡﺪﻘﻡ,1.giriş. 2.önsöz.
mukallid,ﺪﻠﻘﻡ,taklitçi.
mukanna,ﻊﻨﻘﻡ,peçeli.
mukannin,ﻦﻨﻘﻡ,yasa koyucu.
mukarreb,بﺮﻘﻡ,yakın.
mukarrer,رﺮﻘﻡ,1.kararlaştırılmış. 2.kesin.
mukarrerat,تارﺮﻘﻡ,kararlar.
mukassır,ﺮﺼﻘﻡ,kusurlu.
mukattar,ﺮﻄﻘﻡ,damıtılmış.
mukavelat,تﻻوﺎﻘﻡ,sözleşmeler.
mukavele,ﻪﻝوﺎﻘﻡ,sözleşme.
mukavemet,ﺖﻡوﺎﻘﻡ,"karşı koyma, direnme."
mukavim,موﺎﻘﻡ,"karşı koyan, direnen, dirençli."
mukavvî,یﻮﻘﻡ,güç veren.
mukâyese,ﻪﺴیﺎﻘﻡ,"kıyaslama, karşılaştırma."
mukayyed,ﺪﻴﻘﻡ,"1.bağlı, zincire vurulmuş. 2.kayıtlı."
mukayyi,ءﯽﻴﻘﻡ,kusturucu.
mukırr,ﺮﻘﻡ,itirafçı.
mukîm,ﻢﻴﻘﻡ,"oturan, yerleşik."
mukni,ﻊﻨﻘﻡ,ikna edici.
muktebes,ﺲﺒﺘﻘﻡ,alıntı yapılmış.
muktedâ,اﺪﺘﻘﻡ,uyulan.
muktedî,یﺪﺘﻘﻡ,uyan.
muktedir,رﺪﺘﻘﻡ,"güçlü, iktidarlı."
muktesid,ﺪﺼﺘﻘﻡ,"tutumlu, iktisatlı.)"
muktezî,ﯽﻀﺘﻘﻡ,gereken.
mûmâileyh,ﻪﻴﻝا ﯽﻡﻮﻡ,"anılan, adı geçen."
mûmâileyhim,ﻢﻬﻴﻝا ﯽﻡﻮﻡ,adı geçenler.
mumza,ﯽﻀﻤﻡ,"imzalı, imzalanmış."
munfasıl,ﻞﺼﻔﻨﻡ,ayrı.
munis,ﺲﻥﻮﻡ,"cana yakın, alışılmış."
munkalib,ﺐﻠﻘﻨﻡ,"değişen, dönüşen."
munkarız,ضﺮﻘﻨﻡ,"yıkılan, çöken, sönen."
munsarif,فﺮﺼﻨﻡ,vazgeçen.
munsif,ﻒﺼﻨﻡ,insaflı.
muntabık,ﻖﺒﻄﻨﻡ,"uygun, uyumlu."
muntazam,ﻢﻈﺘﻨﻡ,"düzenli, düzgün, intizamlı."
muntazaman,ﺎﻤﻈﺘﻨﻡ,düzenli olarak.
muntazır,ﺮﻈﺘﻨﻡ,bekleyen.
munzam,ﻢﻀﻨﻡ,ek.
murabba,ﻊﺑﺮﻡ,1.dörtgen. 2.kare.
murabbauşşekl,ﻞﮑﺸﻝا ﻊﺑﺮﻡ,"dörtgen şeklinde, kare şeklinde."
murâfaa,ﻪﻌﻓاﺮﻡ,duruşma.
murahhas,ﺺﺧﺮﻡ,delege.
murakabe,ﻪﺒﻗاﺮﻡ,1.denetim. 2.kendi iç dünyasına dalma.
murakıb,ﺐﻗاﺮﻡ,denetçi.
murakka,ﻊﻗﺮﻡ,yamalı.
murassa,ﻊﺹﺮﻡ,değerli taşlarla süslenmiş.
murzia,ﻪﻌﺽﺮﻡ,sütanne.
musâb,بﺎﺼﻡ,"yakalanmış, tutulmuş, uğramış."
musadif,فدﺎﺼﻡ,rastlayan.
musâfaha,ﻪﺤﻓﺎﺼﻡ,tokalaşma.
musahabe,ﻪﺒﺣﺎﺼﻡ,"konuşma, sohbet etme."
musahhah,ﺢﺤﺼﻡ,düzeltilmiş.
musahib,ﺐﺣﺎﺼﻡ,"1.arkadaş, sohbet arkadaşı. 2.padişahın özel işlerine"
musalaha,ﻪﺤﻝﺎﺼﻡ,barış.
musannif,ﻒﻨﺼﻡ,"yazar, kitap yazarı."
musarra,عﺮﺼﻡ,iki mısraı birbiriyle kafiyelendirilmiş beyit.
musattah,ﺢﻄﺴﻡ,düz.
musavver,رﻮﺼﻡ,1.resimli. 2.tasvir edilmiş.
musavvir,رﻮﺼﻡ,ressam.
mushaf,ﻒﺤﺼﻡ,Kur’ân.
musîbet,ﺖﺒﻴﺼﻡ,"1.bela. 2.şirret, uğursuz."
musir,ﺮﺼﻡ,"ısrarcı, ısrar eden."
mustakim,ﻢﻴﻘﺘﺴﻡ,"doğru, düz, dosdoğru."
muşamma,ﻊﻤﺸﻡ,muşamba.
muta’assıb,ﺐﺼﻌﺘﻡ,"taassup gösteren, aşırı tutucu, yobaz."
mutabık,ﻖﺑﺎﻄﻡ,"uyan, uyumlu."
mutâlebât,تﺎﺒﻝﺎﻄﻡ,istekler.
mutâlebe,ﻪﺒﻝﺎﻄﻡ,"1.istek. 2.isteme, talep."
mutantan,ﻦﻄﻨﻄﻡ,1.tantanalı. 2.gösterişli.
mutarriden,ادﺮﻄﻡ,biteviye.
mutasarrıf,فﺮﺼﺘﻡ,sancak beyi.
mutâva’at,ﺖﻋوﺎﻄﻡ,"baş eğme, boyun eğme, itaat."
mutavattın,ﻦﻃﻮﺘﻡ,yurt tutmuş.
mutayebe,ﻪﺒیﺎﻄﻡ,"şakalaşma, birbirine fıkra anlatma."
mutazammin,ﻦﻤﻀﺘﻡ,içeren.
mutazarrır,رﺮﻀﺘﻡ,zarar gören.
muteber,ﺮﺒﺘﻌﻡ,1.itibarlı. 2.geçerli.
mutedil,لﺪﺘﻌﻡ,"1.ylıman. 2.mülayim, hoşgörülü."
mutekid,ﺪﻘﺘﻌﻡ,"inanan, inancında olan."
mutemed,ﺪﻤﺘﻌﻡ,güvenilir.
mutî,ﻊﻴﻄﻡ,"itaat eden, boyun eğen."
mutlak,ﻖﻠﻄﻡ,kesin.
mutlaka,ﺎﻘﻠﻄﻡ,"kesinlikle, zorunlu olarak, kayıtsız şartsız."
mutrib,بﺮﻄﻡ,1.çalgıcı. 2.şarkıcı.
muttasıl,ﻞﺼﺘﻡ,"sürekli, durmadan."
muvacehe,ﻪﻬﺝاﻮﻡ,"karşı, yüzyüze."
muvaffak,ﻖﻓﻮﻡ,başarılı.
muvaffakiyet,ﺖﻴﻘﻓﻮﻡ,başarı.
muvahhiş,ﺶﺣﻮﻡ,korkutucu.
muvakkar,ﺮﻗﻮﻡ,ağırbaşlı.
muvakkat,ﺖﻗﻮﻡ,geçici.
muvakkaten,ﺎﺘﻗﻮﻡ,geçici olarak.
muvâsalat,تﻼﺹاﻮﻡ,"varma, ulaşma."
muvâzaten,ﺎﺕازاﻮﻡ,paralel olarak.
muvazene,ﻪﻥزاﻮﻡ,denge.
muvazi,یزاﻮﻡ,paralel.
muvazzaf,ﻒﻇﻮﻡ,görevli.
muzafferiyet,ﺖیﺮﻔﻈﻡ,zafer kazanma.
muzdarip,بﺮﻄﻀﻡ,"ızdıraplı, acı çeken."
muzır,ﺮﻀﻡ,"zararlı, muzur."
muzlim,ﻢﻠﻈﻡ,karanlık.
muztarib,بﺮﻄﻀﻡ,"acı çeken, ızdıraplı."
mübadele,ﻪﻝدﺎﺒﻡ,"değiştokuş, alışveriş."
mübahesat,تﺎﺜﺣﺎﺒﻡ,tartışmalar.
mübahese,ﻪﺜﺣﺎﺒﻡ,tartışma.
mübalağa,ﻪﻐﻝﺎﺒﻡ,1.abartma. 2.abartı.
mübarek,کرﺎﺒﻡ,"kutlu, bereketli."
mübareze,ﻩزرﺎﺒﻡ,"1.uğraşı, mücadele. 2.savaş."
mübâyaa,ﻪﻌیﺎﺒﻡ,satın alma.
mübdi,عﺪﺒﻡ,"yenilik getiren, yeni bir şey bulan."
mübeşşir,ﺮﺸﺒﻡ,"müjdeci, müjdeleyen."
mübhem,ﻢﻬﺒﻡ,belirsiz.
mübin,ﻦﻴﺒﻡ,"açıklayan, açıklayıcı."
mübrem,مﺮﺒﻡ,"kaçınılmaz, zorunlu."
mübtedi,یﺪﺘﺒﻡ,1.başlayan. 2.ilkokula başlayan öğrenci.
mübtela,ﻼﺘﺒﻡ,"uğramış, tutulmuş, yakalanmış."
mübtenî,ﯽﻨﺘﺒﻡ,dayanan.
mübtezel,لﺬﺘﺒﻡ,1.ele ayağa düşmüş. 2.orta malı. 3.çok bulunan.
mücadele,ﻪﻝدﺎﺠﻡ,savaşım.
mücavir,روﺎﺠﻡ,komşu.
mücazat,تازﺎﺠﻡ,1.cezalandırma. 2.karşılık verme.
mücbir,ﺮﺒﺠﻡ,zorlayıcı.
müceddid,دﺪﺠﻡ,yenilikçi.
mücehhez,ﺰﻬﺠﻡ,donanmış.
mücellâ,ﻼﺠﻡ,cilalı.
mücellid,ﺪﻠﺠﻡ,ciltçi.
mücerreb,بﺮﺠﻡ,deneyimli.
mücerred,دﺮﺠﻡ,1.bekar. 2.soyut.
mücmelen,ﻼﻤﺠﻡ,özetle.
mücrim,مﺮﺠﻡ,suçlu.
müctemi’,ﻊﻤﺘﺠﻡ,derli toplu.
müdafaa,ﻪﻌﻓاﺪﻡ,savunma.
müdahale,ﻪﻠﺧاﺪﻡ,karışma.
müdahene,ﻪﻨهاﺪﻡ,"yağcılık, yardakçılık."
müdavim,مواﺪﻡ,devam eden.
müddeî,ﯽﻋﺪﻡ,1.davacı. 2.inatçı.
müddet,تﺪﻡ,süre.
müdevver,روﺪﻡ,yuvarlak.
müdhiş,ﺶهﺪﻡ,dehşet verici.
müdhişe,ﻪﺸهﺪﻡ,dehşet verici.
müdrik,کرﺪﻡ,idrak eden.
müebbeden,اﺪﺑﺆﻡ,ömür boyu.
müellefat,تﺎﻔﻝﺆﻡ,telif edilmiş yapıtlar.
müellif,ﻒﻝﺆﻡ,yazar.
müesses,ﺲﺱﺆﻡ,"kurulu, kurulmuş."
müessesat,تﺎﺴﺱﺆﻡ,"kurumlar, kuruluşlar, müesseseler."
müessese,ﻪﺴﺱﺆﻡ,"kurum, kuruluş."
müessif,ﻒﺱﺆﻡ,üzücü.
müessir,ﺮﺛﺆﻡ,"1.etkileyici, etkili."
müessiriyet,ﺖیﺮﺛﺆﻡ,etkileme gücü.
müessis,ﺲﺱﺆﻡ,kurucu.
müeyyide,ﻩﺪیﺆﻡ,yaptırım.
müfekkire,ﻩﺮﮑﻔﻡ,düşünme gücü.
müfid,ﺪﻴﻔﻡ,yararlı.
müflis,ﺲﻠﻔﻡ,1.iflas etmiş. 2.sefil.
müfreze,ﻩزﺮﻔﻡ,askerî birlik.
müfrit,طﺮﻔﻡ,aşırı.
müfsid,ﺪﺴﻔﻡ,bozucu.
müftehir,ﺮﺨﺘﻔﻡ,iftihar eden.
müftekir,ﺮﻘﺘﻔﻡ,"1.yoksul. 2.bağlı, muhtaç."
müfteri,یﺮﺘﻔﻡ,iftiracı.
müheyya,ﺎﻴﻬﻡ,hazır.
müheyyic,ﺞﻴﻬﻡ,heyecan verici.
mühim,ﻢﻬﻡ,önemli.
mühimmat,تﺎﻤﻬﻡ,savaş malzemesi.
mühimme,ﻪﻤﻬﻡ,önemli.
mühlet,ﺖﻠﻬﻡ,tanınmış süre.
mühlik,ﮏﻠﻬﻡ,öldürücü.
mühtedî,یﺪﺘﻬﻡ,islam dinini kabul etmiş.
mühtez,ﺰﺘﻬﻡ,titrek.
mükâfat,تﺎﻓﺎﮑﻡ,ödül.
mükâleme,ﻪﻤﻝﺎﮑﻡ,konuşma.
mükâtebe,ﻪﺒﺕﺎﮑﻡ,yazışma.
mükedder,رﺪﮑﻡ,kederli.
mükemmelen,ﻼﻤﮑﻡ,"tam olarak, mükemmel olarak."
mükemmeliyet,ﺖﻴﻠﻤﮑﻡ,mükemmellik.
mükerrer,رﺮﮑﻡ,"tekrarlanmış, yinelenmiş."
mükerreren,ارﺮﮑﻡ,tekrar tekrar.
mükeyyif,ﻒﻴﮑﻡ,keyif verici.
mükteseb,ﺐﺴﺘﮑﻡ,kazanılmış.
müktesebat,تﺎﺒﺴﺘﮑﻡ,bilgi birikimi.
müktesebe,ﻪﺒﺴﺘﮑﻡ,kazanılmış.
mülakat,تﺎﻗﻼﻡ,1.buluşma. 2.görüşme.
mülayim,ﻢیﻼﻡ,yumuşak.
mülazım,مزﻼﻡ,teğmen.
mülevven,نﻮﻠﻡ,rengarenk.
mülevves,ثﻮﻠﻡ,kirli.
mülga,ﺎﻐﻠﻡ,kaldırılmış.
mülhakat,تﺎﻘﺤﻠﻡ,1.ekler. 2.bir yere bağlı olan başka yerler.
mülk,ﮏﻠﻡ,1.yurt. 2.kazanç getiren taşınmaz.
mülteci,ﯽﺠﺘﻠﻡ,sığınmacı.
mültefit,ﺖﻔﺘﻠﻡ,"iltifat eden, güleryüzlü."
mülûk,کﻮﻠﻡ,melikler.
mümane’et,ﺖﻌﻥﺎﻤﻡ,engelleme.
mümaselet,ﺖﻠﺛﺎﻤﻡ,benzerlik.
mümasil,ﻞﺛﺎﻤﻡ,"benzer, andıran."
mümâşat,تﺎﺵﺎﻤﻡ,"uysallık, suyuna gitme, alttan alma."
mümessil,ﻞﺜﻤﻡ,1.temsilci. 2.sınıf temsilcisi.
mümeyyiz,ﺰﻴﻤﻡ,1.katip. 2.sınava giren öğretmen.
mümeyyize,ﻩﺰﻴﻤﻡ,tırnak işareti.
mümin,ﻦﻡﺆﻡ,"inanan, iman eden."
müminîn,ﻦﻴﻨﻡﺆﻡ,"inananlar, iman edenler."
mümkin,ﻦﮑﻤﻡ,mümkün.
mümsik,ﮏﺴﻤﻡ,elisıkı.
mümtaz,زﺎﺘﻤﻡ,seçkin.
mümtehin,ﻦﺤﺘﻤﻡ,"sınav yapan, sınayan."
mümteni,ﻊﻨﺘﻤﻡ,imkansız.
mümzâ,ﯽﻀﻤﻡ,"imzalı, imzalanmış."
mün’akid,ﺪﻘﻌﻨﻡ,"yapılmış, imzalanmış, kabul edilmiş."
mün’akis,ﺲﮑﻌﻨﻡ,yansıtan.
mün’im,ﻢﻌﻨﻡ,1.Tanrı. 2.velînimet.
münâcat,تﺎﺝﺎﻨﻡ,Tanrı’ya yakarma.
münâdi,یدﺎﻨﻡ,"1.müezzin. 2.tellal, çığırtkan."
münafık,ﻖﻓﺎﻨﻡ,"ikiyüzlü, nifak sokucu."
